Experiment	Sweeper	
Saved Date	30.06.2023 13:56:52	
User		
Date		
Start time	30.06.2023 13:46:47	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	Input 1 [00002] (V)	Input 1 [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)
-1.2000054E-3	30.934844E-3	30.792210E-3	30.953124E-3	30.641858E-3
-599.99526E-6	30.891409E-3	30.769700E-3	30.941270E-3	30.719455E-3
0.0000000E+0	30.785309E-3	30.775325E-3	30.990800E-3	30.880937E-3
599.99526E-6	30.718610E-3	30.831220E-3	31.105625E-3	31.038515E-3
1.2000054E-3	30.633904E-3	30.826872E-3	31.198550E-3	31.025685E-3
1.8000007E-3	30.609319E-3	30.866355E-3	31.330455E-3	30.834641E-3
2.3999959E-3	30.693585E-3	30.938083E-3	31.324908E-3	30.743223E-3
3.0000061E-3	30.774107E-3	31.016892E-3	31.293426E-3	30.716952E-3
3.6000013E-3	30.869504E-3	31.117959E-3	31.192409E-3	30.685235E-3
4.1999966E-3	30.970709E-3	31.157048E-3	31.097142E-3	30.676762E-3
4.8000067E-3	30.995417E-3	31.130234E-3	31.030659E-3	30.672014E-3
5.4000020E-3	31.060480E-3	31.022150E-3	31.034708E-3	30.581692E-3
5.9999973E-3	31.085871E-3	30.899463E-3	31.018190E-3	30.400762E-3
6.6000074E-3	31.099081E-3	30.773362E-3	31.040169E-3	30.223241E-3
7.2000027E-3	31.052927E-3	30.714113E-3	31.051332E-3	30.221798E-3
7.7999979E-3	31.086480E-3	30.705240E-3	30.901588E-3	30.310951E-3
8.4000081E-3	31.044059E-3	30.699329E-3	30.815573E-3	30.475277E-3
9.0000033E-3	31.121068E-3	30.673657E-3	30.727280E-3	30.527910E-3
9.5999986E-3	31.117680E-3	30.681955E-3	30.625023E-3	30.563340E-3
10.200009E-3	31.136936E-3	30.696917E-3	30.466160E-3	30.571086E-3
10.800004E-3	31.156925E-3	30.672271E-3	30.463150E-3	30.563990E-3
11.399999E-3	31.212555E-3	30.652951E-3	30.528024E-3	30.604577E-3
11.999995E-3	31.268988E-3	30.614959E-3	30.671889E-3	30.718200E-3
12.600005E-3	31.348631E-3	30.549774E-3	30.746046E-3	30.886151E-3
13.200000E-3	31.401746E-3	30.421818E-3	30.797426E-3	31.028949E-3
13.799995E-3	31.436373E-3	30.348910E-3	30.804947E-3	30.948225E-3
14.400005E-3	31.480554E-3	30.287396E-3	30.841380E-3	30.850016E-3
15.000001E-3	31.429112E-3	30.305369E-3	30.832021E-3	30.758558E-3
15.599996E-3	31.339236E-3	30.478949E-3	30.832348E-3	30.733813E-3
16.200006E-3	31.276044E-3	30.547053E-3	30.849982E-3	30.686738E-3
16.800001E-3	31.179687E-3	30.638739E-3	30.889582E-3	30.638391E-3
17.399997E-3	31.085916E-3	30.759821E-3	31.038612E-3	30.628599E-3
18.000007E-3	31.044981E-3	30.804679E-3	31.101661E-3	30.598361E-3
18.600002E-3	30.890033E-3	30.778492E-3	31.241359E-3	30.514477E-3
19.199997E-3	30.876387E-3	30.832134E-3	31.292774E-3	30.436536E-3
19.800007E-3	30.853407E-3	30.760955E-3	31.275373E-3	30.402353E-3
20.400003E-3	30.829256E-3	30.790005E-3	31.098409E-3	30.312300E-3
20.999998E-3	30.877531E-3	30.786464E-3	31.106856E-3	30.335376E-3
21.600008E-3	30.969210E-3	30.990403E-3	31.090172E-3	30.441960E-3
22.200003E-3	31.007508E-3	31.061877E-3	31.079438E-3	30.563740E-3
