Experiment	Sweeper	
Saved Date	30.06.2023 14:07:13	
User		
Date		
Start time	30.06.2023 14:06:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-73.800005E-3	14.137856E-3	780.23289E-6	0.0000000E+0	NaN
-73.200002E-3	14.377846E-3	828.05339E-6	0.0000000E+0	NaN
-72.600000E-3	14.586232E-3	905.12150E-6	0.0000000E+0	NaN
-72.000004E-3	14.803548E-3	918.39192E-6	0.0000000E+0	NaN
-71.400002E-3	14.944269E-3	861.64515E-6	0.0000000E+0	NaN
-70.799999E-3	15.088744E-3	804.90008E-6	0.0000000E+0	NaN
-70.200004E-3	15.218657E-3	812.03436E-6	0.0000000E+0	NaN
-69.600001E-3	15.426026E-3	886.02415E-6	0.0000000E+0	NaN
-69.000006E-3	15.401945E-3	935.74601E-6	0.0000000E+0	NaN
-68.400003E-3	15.620398E-3	934.43267E-6	0.0000000E+0	NaN
-67.800000E-3	15.906043E-3	894.51135E-6	0.0000000E+0	NaN
-67.200005E-3	16.146962E-3	813.84869E-6	0.0000000E+0	NaN
-66.600002E-3	16.366338E-3	821.66563E-6	0.0000000E+0	NaN
-66.000000E-3	16.470071E-3	883.39340E-6	0.0000000E+0	NaN
-65.400004E-3	16.444465E-3	940.47794E-6	0.0000000E+0	NaN
-64.800002E-3	16.533516E-3	928.84898E-6	0.0000000E+0	NaN
-64.199999E-3	16.552174E-3	885.60162E-6	0.0000000E+0	NaN
-63.600004E-3	16.621230E-3	815.06779E-6	0.0000000E+0	NaN
-63.000001E-3	18.166542E-3	856.84215E-6	0.0000000E+0	NaN
-62.399998E-3	30.442012E-3	2.1663109E-6	0.0000000E+0	NaN
-61.800003E-3	-4.8278598E-3	820.38628E-6	0.0000000E+0	NaN
-61.200000E-3	-4.5745615E-3	843.15531E-6	0.0000000E+0	NaN
-60.600005E-3	-4.3767579E-3	768.95242E-6	0.0000000E+0	NaN
-60.000002E-3	-4.1540978E-3	751.46218E-6	0.0000000E+0	NaN
-59.400000E-3	-3.9686603E-3	771.26245E-6	0.0000000E+0	NaN
-58.800004E-3	-3.7651726E-3	862.04393E-6	0.0000000E+0	NaN
-58.200002E-3	-3.4364290E-3	870.17281E-6	0.0000000E+0	NaN
-57.599999E-3	-3.1377343E-3	844.11335E-6	0.0000000E+0	NaN
-57.000004E-3	-2.8635552E-3	779.13242E-6	0.0000000E+0	NaN
-56.400001E-3	-2.5947264E-3	724.74580E-6	0.0000000E+0	NaN
-55.799998E-3	-2.4025072E-3	788.14087E-6	0.0000000E+0	NaN
-55.200003E-3	-2.3075365E-3	863.39569E-6	0.0000000E+0	NaN
-54.600000E-3	-2.2268174E-3	891.75417E-6	0.0000000E+0	NaN
-54.000005E-3	-2.1295550E-3	836.67785E-6	0.0000000E+0	NaN
-53.400002E-3	-1.9924019E-3	755.53480E-6	0.0000000E+0	NaN
-52.800000E-3	-1.7899022E-3	747.63288E-6	0.0000000E+0	NaN
-52.200004E-3	-1.6003371E-3	774.65113E-6	0.0000000E+0	NaN
-51.600002E-3	-1.4012707E-3	869.61145E-6	0.0000000E+0	NaN
-50.999999E-3	-1.1706091E-3	900.38811E-6	0.0000000E+0	NaN
-50.400004E-3	-959.86435E-6	828.43850E-6	0.0000000E+0	NaN
-49.800001E-3	-761.97478E-6	747.24405E-6	0.0000000E+0	NaN
-49.199998E-3	-574.77504E-6	756.03556E-6	0.0000000E+0	NaN
-48.600003E-3	-456.56800E-6	796.17871E-6	0.0000000E+0	NaN
-48.000000E-3	-358.87817E-6	878.72887E-6	0.0000000E+0	NaN
-47.399998E-3	-249.01386E-6	887.64093E-6	0.0000000E+0	NaN
-46.800002E-3	-50.337720E-6	801.94790E-6	0.0000000E+0	NaN
-46.200000E-3	315.63663E-6	738.03152E-6	0.0000000E+0	NaN
-45.600004E-3	645.30841E-6	756.19441E-6	0.0000000E+0	NaN
-45.000002E-3	960.58985E-6	821.41545E-6	0.0000000E+0	NaN
-44.399999E-3	1.2585483E-3	853.35854E-6	0.0000000E+0	NaN
-43.800004E-3	1.5002091E-3	851.21067E-6	0.0000000E+0	NaN
-43.200001E-3	1.7272379E-3	802.68545E-6	0.0000000E+0	NaN
-42.599998E-3	1.9740192E-3	739.30644E-6	0.0000000E+0	NaN
-42.000003E-3	2.1652603E-3	751.10758E-6	0.0000000E+0	NaN
-41.400000E-3	2.3499136E-3	817.53102E-6	0.0000000E+0	NaN
-40.799998E-3	2.5746701E-3	891.52151E-6	0.0000000E+0	NaN
-40.200002E-3	2.7946439E-3	868.81121E-6	0.0000000E+0	NaN
-39.600000E-3	3.0598685E-3	790.94782E-6	0.0000000E+0	NaN
-38.999997E-3	3.3510011E-3	759.59472E-6	0.0000000E+0	NaN
-38.400002E-3	3.6935839E-3	757.98068E-6	0.0000000E+0	NaN
-37.799999E-3	3.9372831E-3	837.07977E-6	0.0000000E+0	NaN
-37.200004E-3	4.1364925E-3	873.05292E-6	0.0000000E+0	NaN
-36.600001E-3	4.2562974E-3	850.60467E-6	0.0000000E+0	NaN
-35.999998E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-35.400003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-34.800000E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-34.199998E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
-33.600003E-3	0.0000000E+0	NaN	0.0000000E+0	NaN
