Experiment	Sweeper	
Saved Date	30.06.2023 13:59:03	
User		
Date		
Start time	30.06.2023 13:57:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 1 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 1 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 1 X [00001] [bwd] (V)
-103.20000E-3	6.8026776E-3	39.435188E-6	0.0000000E+0	NaN
-102.60001E-3	6.9324397E-3	-19.281319E-6	0.0000000E+0	NaN
-102.00001E-3	7.0056729E-3	-64.574851E-6	0.0000000E+0	NaN
-101.40000E-3	6.9610695E-3	-57.121175E-6	0.0000000E+0	NaN
-100.80001E-3	7.0098699E-3	-7.5844782E-6	0.0000000E+0	NaN
-100.20000E-3	7.2667687E-3	64.401705E-6	0.0000000E+0	NaN
-99.600002E-3	7.6309866E-3	83.901912E-6	0.0000000E+0	NaN
-99.000007E-3	7.9078497E-3	44.001783E-6	0.0000000E+0	NaN
-98.400004E-3	8.0594989E-3	-39.584032E-6	0.0000000E+0	NaN
-97.800002E-3	8.2231052E-3	-59.580769E-6	0.0000000E+0	NaN
-97.200006E-3	8.4060626E-3	-67.324312E-6	0.0000000E+0	NaN
-96.600004E-3	8.6418726E-3	1.7479022E-6	0.0000000E+0	NaN
-96.000001E-3	8.9434003E-3	49.428560E-6	0.0000000E+0	NaN
-95.400006E-3	9.1723343E-3	77.055898E-6	0.0000000E+0	NaN
-94.800003E-3	9.1688912E-3	12.903637E-6	0.0000000E+0	NaN
-94.200000E-3	9.0724332E-3	-42.041131E-6	0.0000000E+0	NaN
-93.600005E-3	9.1469493E-3	-81.632512E-6	0.0000000E+0	NaN
-93.000002E-3	9.2961630E-3	-61.392493E-6	0.0000000E+0	NaN
-92.399999E-3	9.4396984E-3	6.6521134E-6	0.0000000E+0	NaN
-91.800004E-3	9.5422976E-3	37.039841E-6	0.0000000E+0	NaN
-91.200002E-3	9.5836744E-3	71.947441E-6	0.0000000E+0	NaN
-90.599999E-3	9.5991567E-3	44.574608E-6	0.0000000E+0	NaN
